,channelTitle,viewCount,likeCount,definition,commentCount,caption,subscribers,totalViews,totalVideos,avg polarity score,pushblishYear,durationSecs,tagCount,title length,description length,Label
58,4,18824,136,0,4,0,25600,2343442,392,0.256575,2014,731.0,0,30,0,0
59,4,4336,28,0,1,0,25600,2343442,392,0.2775,2014,574.0,0,29,0,0
60,4,3897,26,0,0,0,25600,2343442,392,0.2775,2014,334.0,0,31,0,0
61,4,2199,13,0,1,0,25600,2343442,392,0.345916667,2014,451.0,0,31,0,0
62,4,4681,28,0,4,0,25600,2343442,392,0.2797625,2014,569.0,0,33,0,0
63,4,3147,20,0,0,0,25600,2343442,392,0.2797625,2014,313.0,0,33,0,0
64,4,2250,11,0,0,0,25600,2343442,392,0.2797625,2014,680.0,0,28,0,0
65,4,1627,8,0,0,0,25600,2343442,392,0.2797625,2014,416.0,0,28,0,0
66,4,1179,6,0,0,0,25600,2343442,392,0.2797625,2014,383.0,0,29,0,0
67,4,824,2,0,0,0,25600,2343442,392,0.2797625,2014,373.0,0,29,0,0
68,4,2140,21,0,2,0,25600,2343442,392,0.32644,2014,386.0,0,23,0,0
69,4,2189,15,0,0,0,25600,2343442,392,0.32644,2014,834.0,0,23,0,0
70,4,2252,8,0,0,0,25600,2343442,392,0.32644,2014,587.0,0,23,0,0
71,4,1969,6,0,0,0,25600,2343442,392,0.32644,2014,638.0,0,23,0,0
72,4,1796,9,0,0,0,25600,2343442,392,0.32644,2014,491.0,0,23,0,0
73,4,2420,18,0,0,0,25600,2343442,392,0.32644,2014,249.0,0,23,0,0
74,4,1543,6,0,0,0,25600,2343442,392,0.32644,2014,462.0,0,23,0,0
75,4,1393,5,0,0,0,25600,2343442,392,0.32644,2014,399.0,0,23,0,0
76,4,1061,4,0,0,0,25600,2343442,392,0.32644,2014,215.0,0,23,0,0
77,4,2399,12,0,1,0,25600,2343442,392,0.236854545,2014,347.0,0,22,0,0
78,4,1708,8,0,2,0,25600,2343442,392,0.238407692,2014,267.0,0,22,0,0
79,4,2741,24,0,1,0,25600,2343442,392,0.247178571,2014,441.0,0,38,0,0
80,4,1932,11,0,1,0,25600,2343442,392,0.22726,2014,325.0,0,38,0,0
81,4,1572,11,0,2,0,25600,2343442,392,0.245917647,2014,455.0,0,38,0,0
82,4,2967,13,0,1,0,25600,2343442,392,0.256794444,2014,476.0,0,34,0,0
83,4,1678,8,0,0,0,25600,2343442,392,0.256794444,2014,566.0,0,34,0,0
84,4,1066,6,0,0,0,25600,2343442,392,0.256794444,2014,403.0,0,34,0,0
85,4,1322,7,0,0,0,25600,2343442,392,0.256794444,2014,892.0,0,29,0,0
86,4,5395,67,0,13,0,25600,2343442,392,0.27836,2014,2436.0,0,28,0,0
87,3,437081,6697,0,269,0,1710000,347648425,2320,0.3696127273,2019,269.0,227,26,730,1
88,3,190196,3330,0,113,0,1710000,347648425,2320,0.3686395498,2019,483.0,188,34,641,1
89,3,187921,3173,0,89,0,1710000,347648425,2320,0.3577157216,2019,364.0,139,32,598,1
90,3,167539,3241,0,96,0,1710000,347648425,2320,0.3631382479,2019,760.0,231,23,619,1
91,3,131320,2364,0,126,0,1710000,347648425,2320,0.3541741284,2019,518.0,217,27,620,1
92,3,89031,1354,0,43,0,1710000,347648425,2320,0.349977931,2019,171.0,191,26,608,1
93,3,114363,1346,0,64,0,1710000,347648425,2320,0.3416688498,2019,247.0,181,44,643,1
94,3,128278,2022,0,111,0,1710000,347648425,2320,0.3298727273,2019,625.0,220,47,783,1
95,3,113884,1643,0,39,0,1710000,347648425,2320,0.3264903794,2019,530.0,224,22,674,1
96,3,133018,2228,0,88,0,1710000,347648425,2320,0.3351654034,2019,551.0,129,35,613,1
97,3,118968,2664,0,74,0,1710000,347648425,2320,0.3411233446,2019,321.0,148,35,713,1
98,3,74607,1566,0,45,0,1710000,347648425,2320,0.3433511828,2019,314.0,140,28,597,1
99,3,160851,3013,0,100,0,1710000,347648425,2320,0.3402419922,2019,381.0,160,30,652,1
100,3,52930,940,0,21,0,1710000,347648425,2320,0.3436635666,2019,184.0,143,18,565,1
101,3,54891,1101,0,39,0,1710000,347648425,2320,0.3420030669,2019,331.0,179,18,616,1
102,3,47591,1286,0,41,0,1710000,347648425,2320,0.3453532735,2019,355.0,90,23,768,1
103,3,60217,1141,0,61,0,1710000,347648425,2320,0.3427592241,2019,415.0,147,42,710,1
104,3,52126,930,0,28,0,1710000,347648425,2320,0.3425674536,2019,283.0,195,25,688,1
105,3,71706,1374,0,35,0,1710000,347648425,2320,0.3441527138,2019,533.0,178,33,689,1
106,3,57157,946,0,24,0,1710000,347648425,2320,0.3424883683,2019,427.0,105,28,569,1
107,3,55490,1092,0,29,0,1710000,347648425,2320,0.3437790845,2019,325.0,180,17,611,1
108,3,53390,1043,0,40,0,1710000,347648425,2320,0.3422066002,2019,255.0,162,19,666,1
109,3,48064,866,0,16,0,1710000,347648425,2320,0.3418933131,2019,234.0,167,34,655,1
